ticker,variable,group,observations,available,status,descriptive_nonmissing_share,selected_by_a_recorded_primary_model,training_eligible_share,first_eligible_origin,coverage_note
ATI,market_return,market,129,129,implemented,1.0,True,1.0,2022-12-31,descriptive_nonmissing_share: origins from December 2015; training_eligible_share: share of the 44 outer training windows in which the variable passed the 70% gate.
ATI,market_vol,market,129,129,implemented,1.0,True,1.0,2022-12-31,descriptive_nonmissing_share: origins from December 2015; training_eligible_share: share of the 44 outer training windows in which the variable passed the 70% gate.
ATI,smallcap_return,market,129,129,implemented,1.0,True,1.0,2022-12-31,descriptive_nonmissing_share: origins from December 2015; training_eligible_share: share of the 44 outer training windows in which the variable passed the 70% gate.
ATI,yield_10y,market,129,129,implemented,1.0,True,1.0,2022-12-31,descriptive_nonmissing_share: origins from December 2015; training_eligible_share: share of the 44 outer training windows in which the variable passed the 70% gate.
ATI,yield_short,market,129,129,implemented,1.0,True,1.0,2022-12-31,descriptive_nonmissing_share: origins from December 2015; training_eligible_share: share of the 44 outer training windows in which the variable passed the 70% gate.
ATI,yield_10y_change,market,129,129,implemented,1.0,True,1.0,2022-12-31,descriptive_nonmissing_share: origins from December 2015; training_eligible_share: share of the 44 outer training windows in which the variable passed the 70% gate.
ATI,term_spread,market,129,129,implemented,1.0,True,1.0,2022-12-31,descriptive_nonmissing_share: origins from December 2015; training_eligible_share: share of the 44 outer training windows in which the variable passed the 70% gate.
ATI,vix,market,129,129,implemented,1.0,True,1.0,2022-12-31,descriptive_nonmissing_share: origins from December 2015; training_eligible_share: share of the 44 outer training windows in which the variable passed the 70% gate.
ATI,credit_spread,market,129,36,implemented,0.27906976744186046,False,0.0,,descriptive_nonmissing_share: origins from December 2015; training_eligible_share: share of the 44 outer training windows in which the variable passed the 70% gate.
ATI,credit_spread_change,market,129,35,implemented,0.2713178294573643,False,0.0,,descriptive_nonmissing_share: origins from December 2015; training_eligible_share: share of the 44 outer training windows in which the variable passed the 70% gate.
ATI,real_yield,market,129,129,implemented,1.0,True,1.0,2022-12-31,descriptive_nonmissing_share: origins from December 2015; training_eligible_share: share of the 44 outer training windows in which the variable passed the 70% gate.
ATI,real_yield_change,market,129,129,implemented,1.0,True,1.0,2022-12-31,descriptive_nonmissing_share: origins from December 2015; training_eligible_share: share of the 44 outer training windows in which the variable passed the 70% gate.
ATI,eurusd_return,market,129,129,implemented,1.0,True,1.0,2022-12-31,descriptive_nonmissing_share: origins from December 2015; training_eligible_share: share of the 44 outer training windows in which the variable passed the 70% gate.
